Dialogue_Id,Speaker,Emotion_name,Utterance,Annotate(0/1)
0,maya,disgust,kya kya bhar ke rakha hai indravadan ne is ghar mein indravadan please tum sari bekar ki chijen bahar kyon nahin fekte?,0
0,indu,contempt,"ok, chalo rosesh chalo bahar",0
0,rosesh,anger,momma! hath chhodiye dad!,0
0,indu,neutral,"dekho maya ya na bol raha hai! fir tum hi kahogi faltu chijen jama karte ho fekte nahin ho, chalo",0
0,maya,neutral,"indravadan, tum kitne salo se ye joke maar rahe ho. koi hota hai aaj tak?",0
0,indu,contempt,kaikai pe joke maroge to manthra thodi na hasegi,0
0,rosesh,contempt,very funny,0
0,indu,neutral,"maya, monisha aur sahil aa rahe hain, dekhna yahi jo un per istemal karta hun aur dekhna vah kitna haste hain",0
0,sahil,joy,hi guys,0
0,rosesh,joy,hi,0
0,maya,neutral,"hi darling. achcha indravadan, please ya kachra bahar fenko!",0
0,indu,neutral,"ok maya, chalo rosesh tumhen bahar fenk au",0
0,sahil,joy,mom! diwali ka lunch hamare ghar pe,0
0,monish,joy,aur mein khana fresh banane wali hun,0
0,maya,neutral,"i rest my case indravadan. hase donon, huh? achcha ab to please kachra bahar fenk do",0
0,indu,neutral,"ok maya, chalo monisha tumhe bahar fenk aau",0
0,maya,joy,"ha ha ha, indravadan you are so funny",0
0,indu,neutral,"haila, sahil! tumhare diwali lunch per hai na maiya ko keede, makode aur mukhiya khilana",0
0,indu,contempt,kyunki jab maine wahi joke rosesh pe mara to bilkul nahin hasi lekin vahi joke jab maine monisha per mara to dekho kaise has rahi hai!,0
0,maya,neutral,acha now cut it out huh indravadan. rosesh sweety tumhi nikalo na sara kachra bahar,0
0,rosesh,joy,"ok chaliye dad, mein aapko bahar fenk kar aata hun!",0
0,maya,contempt,"haha, you asked for that one. sahil darling tumhi madad kar do please meri. mera ghar to ekadam monisha ka ghar ban gaya hai!",0
1,maya,joy,rosesh beta happy diwali!,0
1,rosesh,neutral,you bet momma.,0
1,indu,joy,"rosesh bete, diwali mubarak ho!",0
1,rosesh,sadness,"please dad mubarak ho aisa shabd istemal na karen to behtar hoga kyunki mere paida hone per ""mubarak ho aapko teesra baccha hua hai"" aisa to kisi ne nahin kaha hoga na?",0
1,maya,neutral,how can you say that rosesh?,0
1,maya,joy,tumhen maloom nahin indravadan to khushi se nach utha tha vahi nursing home mein!,0
1,indu,neutral,"han han yad hai! yad hai! aur maya tum bhi to kitna naachi thi, yad hai tumhen?",0
1,maya,neutral,meri cesarean delivery hui thi indravadan!,0
1,rosesh,neutral,aur mithaai kaun si bati thi?,0
1,indu,neutral,baithi thi na mithaiyan! vah kadak bundi ke laddu bate the. haina?,0
1,maya,neutral,dry fruits ke boxes baate the indravadan!,0
1,indu,neutral,"are haan, yad aaya dryfruits ke boxes bate the! unn dino diwalil bhi to thi to lage hatho humne...",0
1,rosesh,sadness,"it's ok momma. diwali ka ek bahana to tha, dry fruits bantne ka... mera janam to!",0
1,monisha,joy,"happy diwali! mummy ji ye liljiye aapka gift, candal. kesa laga?",0
1,maya,contempt,jaisa laga so laga tumhen achcha laga na?,0
1,monisha,joy,haan.,0
1,maya,neutral,to tang do kahin bhi,0
1,monisha,joy,"aur mummy ji yah stickers kahan lagaun? ""shubh labh"", ""happy diwali"", ""welcome"" wale?",0
1,maya,contempt,yah plastic ke stickers tumne kahan se khariden?,0
1,monisha,joy,khareed nahin mummy ji mujhe dukandar ne aise hi de diye. mujhe aate hue dekhkar dukandar ne kaha ki bahan ji please jor jor se bhav mat karna jo chahie aise hi muft mein le jaaiye!,0
1,sahil,neutral,aur tumne le liye?,0
1,monisha,joy,haan! ismein se do to main bech bhi diye sahil! kahan lagau balcony main?,0
1,maya,neutral,jahan ji chahe laga do ab yah ghar to hamara raha hi nhi. chalo indravadan.,0
1,indu,neutral,haan chalo maya,0
1,sahil,neutral,ek minute! mom-dad aap donon kahan ja rahe ho?,0
1,indu,sadness,"pata nahin beta lekin jo zyattiyan humne rosesh pe ki hain, shayad usi ka yah prayashchit hai",0
1,maya,sadness,"indravadan prayaschit is melodramatically middle class. rosesh beta, aaj se yah ghar tumhara. consider this our penance. tum kahin nahin jaaoge ham hi chale jaenge. happy diwali and goodbye. chalo indu.",0
1,indu,neutral,"maya ye to rok hi nhi rha hai, kahan jaenge hum log?",0
1,sahil,neutral,rosesh kya kar rahe ho? mom and dad ghar chhodkar ja rahe hain!,0
1,indu,neutral,"dekha mujhe pata tha ki yah nalayak kuchh zyatti karega. ab kya karen? kuchh karo, tum karo!",0
1,maya,sadness,"rosesh beta, yah middle class ghar ab tumhen mubarak ho.",0
1,indu,neutral,"ab bhi koi asar nhi ho rha hai, me karta hun. rosesh bete suno meri almari ke teesre drawer main kuchh dvds rakhi hai, wo mat dekhna, huh? or, or bete suno, maa baap to aakhir maa baap hi hote hain!",0
1,rosesh,neutral,momma please aap...,0
1,maya,neutral,acha! nahin jaaungi main!,0
1,indu,neutral,hum! hum nhi jaenge bete!,0
1,rosesh,joy,momma!!,0
1,monisha,joy,chalo inki katti khatam ho gyi!,0
1,maya,joy,"differences resolve ho gye monisha! katti khatam hogyi is as pathetic as tumara ye candel and ye stickers, nilao inhe bahr. ab inss ghar se agar koi jayega to tumare yeh moddle class decorations. out out! happy diwali baby",0
2,maya,neutral,radha bai! vitthal! monisha!,0
2,indu,fear,"maya suno, ye kachra nahin hai. yah meri jeans hai favourite.",0
2,maya,disgust,tumhari favourite jeans mein itna bada chhed hai!,0
2,indu,neutral,han to aajkal wo chhed wale kapde pehna fashion mein hai.,0
2,maya,contempt,"indravadan ghutne pe ya thighs pe chhed ho tab wo jeans fashionable hoti hai, ismein kahan chhed hai dikhao?",0
2,maya,neutral,radha bai! rosesh!,0
2,indu,joy,"haha, kamal hai na dono kam wali bayian aaj gayab hai.",0
2,maya,neutral,indu! tumhi uthakar ke fenk do bahar chalo.,0
2,indu,surprise,haila yah to meri favourite chocolate ka dibba hai maya!,0
2,maya,neutral,tumhari favourite chocolate expire ho chuki hai,0
2,indu,neutral,"rahane do na maya, kam aaegi",0
2,maya,neutral,kya kam aaegi?,0
2,indu,neutral,main kha lunga,0
2,maya,neutral,indu ismein zahar faila hoga,0
2,indu,neutral,to tum kha lena,0
2,maya,neutral,kya tum sach mein chahte ho ki main mar jaaun? i'll rephrase the question. agar bhagwan tumhen option de ki tum apni jaan doge ya maya ki to tum kaun sa option chunoge?,0
2,indu,neutral,yeah do mein se ek ungali select karo nahin fir se fir se ab,0
2,maya,sadness,i have got my answer indravadan,0
2,indu,neutral,rosesh kahan the tum? kab se chilla rahi hoon!,0
2,rosesh,sadness,yeh aapka letter...,0
2,maya,surprise,letter?,0
2,rosesh,sadness,jo aapane dad ko likha tha mere paida hone se pahle!,0
2,indu,contempt,tere paida hone se pahle? aaye haye kya suhane din the kab lautenge ab pta nhi!,0
2,rosesh,sadness,bahut jald vah din wapas laut aaenge dad,0
2,maya,neutral,kyon aisa kah rahe ho kya hai is letter main?,0
2,rosesh,sadness,ismein saboot hai ki aap logon ki jindagi mein meri koi jarurat nahin thi! main aap logon ki anchahi aulad hun,0
2,maya,contempt,rosesh! this is supremely middle class!,0
2,rosesh,sadness,ok main aapka unwanted child hun,0
2,maya,neutral,"that's better. are rosesh, tumhen aisa kyon lagta hai beta?",0
3,sahil,anger,rosesh chup ho jao. monisha pani lekar aao!,0
3,monisha,neutral,kaunsa wala laun?,0
3,sahil,neutral,kaunsa wala matlab?,0
3,monisha,neutral,isme lahsun ka tadka gira tha aur ismein ballpen.,0
3,sahil,neutral,ball pen leak ho rahi thi?,0
3,monisha,neutral,nahi,0
3,sahil,neutral,to vah wala pani lekar aao,0
3,monisha,neutral,okay,0
3,sahil,anger,hello mujhe batao tum ro kyon rahe ho?,0
3,rosesh,sadness,"momma hai na momma, wo mujhe maarna chahti thi sahil bhai!",0
3,sahil,neutral,mom bhi?,0
3,rosesh,sadness,haan.,0
3,sahil,neutral,mom tumhe kyun marna chahti thi rosesh? tum mom ko bahut acche lagte ho. tum acting karte ho fir bhi!,0
3,rosesh,sadness,"mere paida hone se pahle momma ko pata thodi na tha, ki main paida hokar great actor banunga.",0
3,monisha,neutral,yah lijiye,0
3,rosesh,disgust,thank you. ismein se to ajeeb si smell a rahi hai bhabhi,0
3,sahil,contempt,pee le na! aisi acting kar jaise yah best quality wine ho. great actor hai ye!,0
3,monisha,neutral,sahil tum rosesh bhaiya ko tana kyon mar rhe ho?,0
3,rosesh,sadness,"tana hi to mar rahe hain bhabhi, mom ki tarah jaan se to nahin maar rahe...",0
3,monisha,neutral,mummy ji ne aapko marne ki koshish ki?,0
3,sahil,neutral,tum monisha ke kapde pahan ke khade the? haan to kyun?,0
3,rosesh,sadness,"mere paida hone se pahle sahil bhai, wo teesra bachcha nahin chahti thi. wo mujhe paida hone dena nahin chahti thi!",0
3,sahil,anger,what nonsense rosesh?,0
3,rosesh,sadness,aisa khat mein likha hai unhone,0
3,sahil,neutral,to mom ke pass us baat ka koi explanation hoga rosesh.,0
3,rosesh,sadness,lekin unhone aisa socha hi kyon?,0
3,sahil,anger,rosesh unhone sirf esa socha hai kiya to nahin na?,0
