Dialogue_Id,Speaker,Emotion_name,Utterance,Annotate(0/1)
0,monisha,neutral,theek se wajan karana,0
0,sahil,neutral,monisha,0
0,monisha,anger,"abhi ayi. yeh, ye bhi rakho.",0
0,sahil,neutral,"monisha, iss churidaar me nara nhi hai.",1
0,monisha,neutral,to kisee aur churidaar ka nara nikalke dalo na isme sahil.,0
1,monisha,neutral,theek se wajan karana,0
1,sahil,neutral,monisha,0
1,monisha,anger,"abhi ayi. yeh, ye bhi rakho.",0
1,sahil,neutral,"monisha, iss churidaar me nara nhi hai.",0
1,monisha,neutral,to kisee aur churidaar ka nara nikalke dalo na isme sahil.,0
1,sahil,neutral,ish churidar ka nara kaha gaya.,0
1,monisha,neutral,"radde ka wajan ho jane do, deti hun.",0
1,sahil,neutral,raddee ka wajan aur churidaar ke naare ka kya sambandh hai?,0
1,monisha,neutral,"akhabaar ke baad magazine ka bundle bechungi nah, toh tumhaara naada mainne",1
1,sahil,surprise,mera choodeedaar ka naara istemaal kiya woh bundle bandne ke liye?,0
2,monisha,neutral,theek se wajan karana,0
2,sahil,neutral,monisha,0
2,monisha,anger,"abhi ayi. yeh, ye bhi rakho.",0
2,sahil,neutral,"monisha, iss churidaar me nara nhi hai.",0
2,monisha,neutral,to kisee aur churidaar ka nara nikalke dalo na isme sahil.,0
2,sahil,neutral,ish churidar ka nara kaha gaya.,0
2,monisha,neutral,"radde ka wajan ho jane do, deti hun.",0
2,sahil,neutral,raddee ka wajan aur churidaar ke naare ka kya sambandh hai?,0
2,monisha,neutral,"akhabaar ke baad magazine ka bundle bechungi nah, toh tumhaara naada mainne",0
2,sahil,surprise,mera choodeedaar ka naara istemaal kiya woh bundle bandne ke liye?,0
2,monisha,neutral,haan to kuchh aur ghar mein tha nehi na sahil?,0
2,sahil,anger,"wo magazine me se nara nikalo, come on.",1
2,monisha,anger,sahil 1 minute na kya,0
3,monisha,neutral,theek se wajan karana,0
3,sahil,neutral,monisha,0
3,monisha,anger,"abhi ayi. yeh, ye bhi rakho.",0
3,sahil,neutral,"monisha, iss churidaar me nara nhi hai.",0
3,monisha,neutral,to kisee aur churidaar ka nara nikalke dalo na isme sahil.,0
3,sahil,neutral,ish churidar ka nara kaha gaya.,0
3,monisha,neutral,"radde ka wajan ho jane do, deti hun.",0
3,sahil,neutral,raddee ka wajan aur churidaar ke naare ka kya sambandh hai?,0
3,monisha,neutral,"akhabaar ke baad magazine ka bundle bechungi nah, toh tumhaara naada mainne",0
3,sahil,surprise,mera choodeedaar ka naara istemaal kiya woh bundle bandne ke liye?,0
3,monisha,neutral,haan to kuchh aur ghar mein tha nehi na sahil?,0
3,sahil,anger,"wo magazine me se nara nikalo, come on.",1
3,monisha,anger,sahil 1 minute na kya,0
3,sahil,anger,"nada do na, come on fast",1
3,monisha,fear,"ok fine. toot gya. isiliye kehte hai humesha churidar me na, zip lagani chahiye",1
4,maya,neutral,"hello maaya sarabhai, ha kya baat hai chawkidaar?",0
4,rosesh,neutral,kaun aaya hain mamma?,0
4,maya,fear,municipal corporation se kohi loog aya hain.,1
5,maya,neutral,"hello maaya sarabhai, ha kya baat hai chawkidaar?",0
5,rosesh,neutral,kaun aaya hain mamma?,0
5,maya,fear,municipal corporation se kohi loog aya hain.,0
5,indu,joy,rosesh ko lene aye honge,0
5,rosesh,surprise,mukje kyun?,0
5,indu,neutral,are tujhe pata nehi? exotic animals ghar pe rakhna mana hain,1
5,rosesh,contempt,"haha, very funny",0
6,maya,neutral,"hello maaya sarabhai, ha kya baat hai chawkidaar?",0
6,rosesh,neutral,kaun aaya hain mamma?,0
6,maya,fear,municipal corporation se kohi loog aya hain.,0
6,indu,joy,rosesh ko lene aye honge,0
6,rosesh,surprise,mukje kyun?,0
6,indu,neutral,are tujhe pata nehi? exotic animals ghar pe rakhna mana hain,0
6,rosesh,contempt,"haha, very funny",0
6,indu,neutral,"chal, khel khel",0
6,maya,fear,"ok, bhej do unhe upar. this sounds a bit serious indravadan. municipal corporation ke demolition department se kohi senior officer aya hain niche.",0
6,indu,neutral,iye demolition department wale ihan keya torne ayenge?,0
6,maya,contempt,i have no idea. i mean monisha ke banay hue gulabjamun bhi main kal radhabhai ko de diye. barna unhe turwa ti hatho se.,1
6,rosesh,surprise,bhabhi ke banay hue gulabjamun itne mazbut the?,0
7,maya,neutral,"hello maaya sarabhai, ha kya baat hai chawkidaar?",0
7,rosesh,neutral,kaun aaya hain mamma?,0
7,maya,fear,municipal corporation se kohi loog aya hain.,0
7,indu,joy,rosesh ko lene aye honge,0
7,rosesh,surprise,mukje kyun?,0
7,indu,neutral,are tujhe pata nehi? exotic animals ghar pe rakhna mana hain,0
7,rosesh,contempt,"haha, very funny",0
7,indu,neutral,"chal, khel khel",0
7,maya,fear,"ok, bhej do unhe upar. this sounds a bit serious indravadan. municipal corporation ke demolition department se kohi senior officer aya hain niche.",0
7,indu,neutral,iye demolition department wale ihan keya torne ayenge?,0
7,maya,contempt,i have no idea. i mean monisha ke banay hue gulabjamun bhi main kal radhabhai ko de diye. barna unhe turwa ti hatho se.,0
7,rosesh,surprise,bhabhi ke banay hue gulabjamun itne mazbut the?,1
7,maya,neutral,toh radhabhai kyun iodex mal rahi apne pair pe?,0
8,maya,neutral,"hello maaya sarabhai, ha kya baat hai chawkidaar?",0
8,rosesh,neutral,kaun aaya hain mamma?,0
8,maya,fear,municipal corporation se kohi loog aya hain.,0
8,indu,joy,rosesh ko lene aye honge,0
8,rosesh,surprise,mukje kyun?,0
8,indu,neutral,are tujhe pata nehi? exotic animals ghar pe rakhna mana hain,0
8,rosesh,contempt,"haha, very funny",0
8,indu,neutral,"chal, khel khel",0
8,maya,fear,"ok, bhej do unhe upar. this sounds a bit serious indravadan. municipal corporation ke demolition department se kohi senior officer aya hain niche.",0
8,indu,neutral,iye demolition department wale ihan keya torne ayenge?,0
8,maya,contempt,i have no idea. i mean monisha ke banay hue gulabjamun bhi main kal radhabhai ko de diye. barna unhe turwa ti hatho se.,0
8,rosesh,surprise,bhabhi ke banay hue gulabjamun itne mazbut the?,0
8,maya,neutral,toh radhabhai kyun iodex mal rahi apne pair pe?,0
8,indu,neutral,iodex kyun?,1
8,maya,sadness,kyunki gulabjamun gir gayi na becari ki pair pe.,0
9,maya,neutral,"hello maaya sarabhai, ha kya baat hai chawkidaar?",0
9,rosesh,neutral,kaun aaya hain mamma?,0
9,maya,fear,municipal corporation se kohi loog aya hain.,0
9,indu,joy,rosesh ko lene aye honge,0
9,rosesh,surprise,mukje kyun?,0
9,indu,neutral,are tujhe pata nehi? exotic animals ghar pe rakhna mana hain,0
9,rosesh,contempt,"haha, very funny",0
9,indu,neutral,"chal, khel khel",0
9,maya,fear,"ok, bhej do unhe upar. this sounds a bit serious indravadan. municipal corporation ke demolition department se kohi senior officer aya hain niche.",0
9,indu,neutral,iye demolition department wale ihan keya torne ayenge?,0
9,maya,contempt,i have no idea. i mean monisha ke banay hue gulabjamun bhi main kal radhabhai ko de diye. barna unhe turwa ti hatho se.,0
9,rosesh,surprise,bhabhi ke banay hue gulabjamun itne mazbut the?,0
9,maya,neutral,toh radhabhai kyun iodex mal rahi apne pair pe?,0
9,indu,neutral,iodex kyun?,0
9,maya,sadness,kyunki gulabjamun gir gayi na becari ki pair pe.,1
9,indu,surprise,are baap,0
10,maya,neutral,hello maya sarabhai,0
10,person1,neutral,nehi nehi main rajsekhar inamdar,1
10,maya,neutral,main maya sarabhai,0
11,maya,neutral,hello maya sarabhai,0
11,person1,neutral,nehi nehi main rajsekhar inamdar,0
11,maya,neutral,main maya sarabhai,0
11,person1,neutral,app main se indravadan sarabhai kayn hain?,0
11,indu,joy,"app hi bataiye, nehi nehi just make a wild guess. hum main se indravadan sarabhai kayn ho sakta hain?",1
11,person1,joy,kohi hint to dijiye aap,0
12,maya,neutral,hello maya sarabhai,0
12,person1,neutral,nehi nehi main rajsekhar inamdar,0
12,maya,neutral,main maya sarabhai,0
12,person1,neutral,app main se indravadan sarabhai kayn hain?,0
12,indu,joy,"app hi bataiye, nehi nehi just make a wild guess. hum main se indravadan sarabhai kayn ho sakta hain?",0
12,person1,joy,kohi hint to dijiye aap,1
12,indu,neutral,"ok ok, indravadan je hain na, he is a dashing",0
13,maya,neutral,hello maya sarabhai,0
13,person1,neutral,nehi nehi main rajsekhar inamdar,0
13,maya,neutral,main maya sarabhai,0
13,person1,neutral,app main se indravadan sarabhai kayn hain?,0
13,indu,joy,"app hi bataiye, nehi nehi just make a wild guess. hum main se indravadan sarabhai kayn ho sakta hain?",0
13,person1,joy,kohi hint to dijiye aap,1
13,indu,neutral,"ok ok, indravadan je hain na, he is a dashing",1
13,maya,anger,indravadan indravadan baad main khelenge if you dont mind. aap please mujhe bataiyain keya kaam ke liye aaye hain aap?,0
14,maya,neutral,hello maya sarabhai,0
14,person1,neutral,nehi nehi main rajsekhar inamdar,0
14,maya,neutral,main maya sarabhai,0
14,person1,neutral,app main se indravadan sarabhai kayn hain?,0
14,indu,joy,"app hi bataiye, nehi nehi just make a wild guess. hum main se indravadan sarabhai kayn ho sakta hain?",0
14,person1,joy,kohi hint to dijiye aap,0
14,indu,neutral,"ok ok, indravadan je hain na, he is a dashing",0
14,maya,anger,indravadan indravadan baad main khelenge if you dont mind. aap please mujhe bataiyain keya kaam ke liye aaye hain aap?,0
14,person1,neutral,"haan to madam, aap ke pass ish makaan ko khaali karne ke liye exactly 15 minutes hain. uske baad hum ish ghar se ish building ka demolition suru kar denge.",0
14,maya,surprise,whaat?,0
14,person1,neutral,"haan to aap ke 15 minutes suru hote hain aab. larko, andaar aa jaao.",1
14,rosesh,fear,"oh god, weapons!",0
14,maya,fear,iye sab keya ho raha hain indu?,0
15,maya,neutral,hello maya sarabhai,0
15,person1,neutral,nehi nehi main rajsekhar inamdar,0
15,maya,neutral,main maya sarabhai,0
15,person1,neutral,app main se indravadan sarabhai kayn hain?,0
15,indu,joy,"app hi bataiye, nehi nehi just make a wild guess. hum main se indravadan sarabhai kayn ho sakta hain?",0
15,person1,joy,kohi hint to dijiye aap,0
15,indu,neutral,"ok ok, indravadan je hain na, he is a dashing",0
15,maya,anger,indravadan indravadan baad main khelenge if you dont mind. aap please mujhe bataiyain keya kaam ke liye aaye hain aap?,0
